channel_name,total_subscribers,total_views,total_videos
NoCopyrightSounds,33700000,11148734832,1686
DanTDM,28800000,19849610799,3711
KSI,24100000,6015064768,1252
Mister Max,24500000,16094889854,1147
Jelly,23600000,15097835047,6446
Miss Katy,24700000,15654857124,1091
Dua Lipa,23600000,13183103352,273
Dan Rhodes,27000000,18827740947,1664
Ali-A,18900000,6523521958,4365
Gaby and Alex,17200000,8709147233,367
Queen Official,17700000,11397708642,1192
Little Mix,16400000,7838466387,278
JJ Olatunji,16300000,4282620936,1358
F2Freestylers - Ultimate Soccer Skills Channel,14100000,3353160931,782
BBC News,16100000,5360646350,21976
BBC,14200000,10496811374,19467
Awakening Music,14200000,5985234273,941
DisneyChannelUK,13100000,13456178783,4528
colinfurze,13000000,1760336189,399
Mrwhosetheboss,18900000,5534447553,1700
TommyInnit,14800000,2396439757,469
Morgz,12700000,3537944131,847
Tiana,11400000,3245560779,1039
Disney Kids,12100000,12456174248,2946
Emily Tube,11100000,3738109796,727
Slogo,11700000,8983164450,6383
Jessie J,10600000,5795719260,96
Sing King,12100000,8014365196,4409
BBC News عربي,11600000,4935944385,41003
Classic Mr Bean,10500000,3424916724,1770
Syndicate,9600000,2134130483,3530
Gorillaz,11000000,5869500396,363
Woody & Kleiny,15600000,14488759467,1142
Jungle Beat,11700000,5882108639,843
The X Factor UK,9180000,7009317262,5503
English with Lucy,11100000,509523493,391
Shaun the Sheep Official,12100000,6460699779,896
Cartoons for Kids,9020000,3418515574,2538
Mumbo Jumbo,9380000,3076497626,2082
Top Gear,8980000,4006589134,1899
Moonbug Kids - Kids Learning Videos,11300000,8598140600,1604
BBC Radio 1,8260000,3745605699,4918
Grian,8540000,2469330357,758
Daz Games,8630000,2734886053,1581
Vikkstar123,7600000,2162384761,5048
PlayToys,7810000,3059446696,974
carwow,9330000,3969335580,2716
Jeremy Lynch,12000000,6431515532,791
TomSka,7290000,2084214415,178
The Yogscast,7070000,4579694775,6552
LDShadowLady,7190000,3450440860,1079
The Beatles,8340000,7023952511,318
Passenger,7420000,4567686772,390
MessYourself,6870000,2572075782,1068
MoreSidemen,8570000,4423128272,1039
Boomerang UK,7410000,3673417092,2389
James Arthur,7420000,4499810906,208
ARPO The Robot,7700000,3267370395,1384
24 News HD,7920000,3503504006,169862
RubyandBonnie,9070000,5294649753,642
Nickelodeon UK,7040000,7475098247,3298
Mark Ronson,6890000,6587403647,20
Rhia Official,13000000,6063020923,935
UKF Dubstep,6240000,2127588627,1745
TGFbro,6160000,1464816248,472
Wilbur Soot,5810000,796682686,139
Russell Brand,6800000,1312734008,2862
Manchester United,9040000,2249470061,4147
Pingu - Official Channel,6950000,2833124615,653
Mrwhosetheboss Shorts,7110000,3759695835,186
Niko Omilana,7510000,623450441,141
Tiana2,5870000,1644965595,429
Capital FM,6160000,3583201083,2661
Simon's Cat,6250000,1589731792,499
CGP Grey,6390000,1042478653,189
Jamie Oliver,5940000,966428862,2142
Dumori Bay,5340000,1131363,225
Space Videos,5640000,114752801,143
Real Stories,6330000,1178604170,1111
More Emily,5280000,1480689212,634
GRM Daily,6350000,7582963374,14918
Joe Weller,5300000,1017055225,322
WildBrain Kids,8920000,4267583710,5048
Sky News,7780000,4420511993,48896
Jarvis,5670000,1712376210,728
Thoughty2,5440000,1053064595,832
Behzinga,4960000,580638191,872
BBC Learning English,6670000,347271686,3645
Max and Katy,4720000,1317145165,509
Man City,7460000,2029889396,8438
Wisp,5220000,1091130547,527
WillNE,5050000,861227635,306
Zerkaa,4700000,859549830,2023
Ben Phillips,4540000,1274982643,861
Roxxsaurus,4580000,542693102,956
